ID	CellType
2700094K13Rik	ENSMUSG00000076437	Dividing_cell
2810417H13Rik	ENSMUSG00000040204	Dividing_cell
Acaa1b	ENSMUSG00000010651	Hepatocyte
Adgrf5	ENSMUSG00000056492	Endothelial_cell
Aebp1	ENSMUSG00000020473	HSC
Aif1	ENSMUSG00000024397	Macrophage
Akr1c6	ENSMUSG00000021210	Hepatocyte
Alb	ENSMUSG00000029368	Cholangiocyte,Hepatocyte
Alcam	ENSMUSG00000022636	Cholangiocyte
Aldob	ENSMUSG00000028307	Hepatocyte
Alox5ap	ENSMUSG00000060063	Dendritic_cell
Ambp	ENSMUSG00000028356	Cholangiocyte
Angptl6	ENSMUSG00000038742	HSC
Ankrd1	ENSMUSG00000024803	Cholangiocyte
Anp32b	ENSMUSG00000028333	Dividing_cell
Anxa5	ENSMUSG00000027712	Cholangiocyte
Apoa1	ENSMUSG00000032083	Hepatocyte
Apoa2	ENSMUSG00000005681	Hepatocyte
Apoc1	ENSMUSG00000040564	Hepatocyte
Apoc3	ENSMUSG00000032081	Hepatocyte
Apoc4	ENSMUSG00000074336	Hepatocyte
Apoe	ENSMUSG00000002985	Macrophage
Aqp1	ENSMUSG00000004655	Endothelial_cell
Ass1	ENSMUSG00000076441	Hepatocyte
Atp1b1	ENSMUSG00000026576	Cholangiocyte
AW112010	ENSMUSG00000075010	T_cell
Bank1	ENSMUSG00000037922	B_cell
Bcl11a	ENSMUSG00000000861	B_cell,Dendritic_cell
Bcl11b	ENSMUSG00000048251	T_cell
Bcl2	ENSMUSG00000057329	T_cell
Bgn	ENSMUSG00000031375	HSC
Bhmt	ENSMUSG00000074768	Hepatocyte
Bicc1	ENSMUSG00000014329	Cholangiocyte
Birc5	ENSMUSG00000017716	Dividing_cell
Bmp2	ENSMUSG00000027358	Endothelial_cell
C1qa	ENSMUSG00000036887	Macrophage
C1qb	ENSMUSG00000036905	Macrophage
C1qc	ENSMUSG00000036896	Macrophage
C3	ENSMUSG00000024164	HSC
C4b	ENSMUSG00000073418	HSC
Car3	ENSMUSG00000027559	Hepatocyte
Ccl5	ENSMUSG00000035042	T_cell
Ccl6	ENSMUSG00000018927	Macrophage
Ccna2	ENSMUSG00000027715	Dividing_cell
Ccnb2	ENSMUSG00000032218	Dividing_cell
Ccr7	ENSMUSG00000037944	B_cell
Ccr9	ENSMUSG00000029530	Dendritic_cell
Cd19	ENSMUSG00000030724	B_cell
Cd209a	ENSMUSG00000031494	Dendritic_cell
Cd22	ENSMUSG00000030577	B_cell
Cd28	ENSMUSG00000026012	T_cell
Cd37	ENSMUSG00000030798	B_cell
Cd3d	ENSMUSG00000032094	T_cell
Cd3e	ENSMUSG00000032093	T_cell
Cd3g	ENSMUSG00000002033	T_cell
Cd5l	ENSMUSG00000015854	Macrophage
Cd68	ENSMUSG00000018774	Macrophage
Cd7	ENSMUSG00000025163	T_cell
Cd74	ENSMUSG00000024610	B_cell,Dendritic_cell
Cd79a	ENSMUSG00000003379	B_cell
Cd79b	ENSMUSG00000040592	B_cell
Cd8a	ENSMUSG00000053977	T_cell
Cdca3	ENSMUSG00000023505	Dividing_cell
Cdca8	ENSMUSG00000028873	Dividing_cell
Cdk1	ENSMUSG00000019942	Dividing_cell
Cdo1	ENSMUSG00000033022	Hepatocyte
Cebpb	ENSMUSG00000056501	Macrophage
Cenpa	ENSMUSG00000029177	Dividing_cell
Cenpf	ENSMUSG00000026605	Dividing_cell
Ces1d	ENSMUSG00000056973	Cholangiocyte
Cfp	ENSMUSG00000001128	Macrophage
Chchd10	ENSMUSG00000049422	Plasma_B_cell
Ckb	ENSMUSG00000001270	Dendritic_cell
Cks1b	ENSMUSG00000028044	Dividing_cell
Cks2	ENSMUSG00000062248	Dividing_cell
Cldn3	ENSMUSG00000070473	Cholangiocyte
Cldn5	ENSMUSG00000041378	Endothelial_cell
Cldn7	ENSMUSG00000018569	Cholangiocyte
Clec10a	ENSMUSG00000000318	Dendritic_cell
Clec14a	ENSMUSG00000045930	Endothelial_cell
Clec4f	ENSMUSG00000014542	Macrophage
Clec4g	ENSMUSG00000074491	Endothelial_cell
Clu	ENSMUSG00000022037	Cholangiocyte
Col14a1	ENSMUSG00000022371	HSC
Col1a1	ENSMUSG00000001506	HSC
Col1a2	ENSMUSG00000029661	HSC
Col3a1	ENSMUSG00000026043	HSC
Colec11	ENSMUSG00000036655	HSC
Cp	ENSMUSG00000003617	Cholangiocyte
Creg1	ENSMUSG00000040713	Macrophage
Creld2	ENSMUSG00000023272	Plasma_B_cell
Crip1	ENSMUSG00000006360	Dendritic_cell,Plasma_B_cell
Csf1r	ENSMUSG00000024621	Macrophage
Cst3	ENSMUSG00000027447	Dendritic_cell
Ctsb	ENSMUSG00000021939	Macrophage
Ctsc	ENSMUSG00000030560	Macrophage
Ctsh	ENSMUSG00000032359	Dendritic_cell
Ctss	ENSMUSG00000038642	Macrophage
Ctsw	ENSMUSG00000024910	T_cell
Cxcl12	ENSMUSG00000061353	HSC
Cxcr4	ENSMUSG00000045382	B_cell
Cxcr6	ENSMUSG00000048521	T_cell
Cybb	ENSMUSG00000015340	Macrophage
Cygb	ENSMUSG00000020810	HSC
Cyp26b1	ENSMUSG00000063415	Endothelial_cell
Cyr61	ENSMUSG00000028195	Cholangiocyte
Cystm1	ENSMUSG00000046727	Cholangiocyte
Dbi	ENSMUSG00000026385	Cholangiocyte
Dcn	ENSMUSG00000019929	HSC
Ddit4l	ENSMUSG00000046818	Cholangiocyte
Derl3	ENSMUSG00000009092	Plasma_B_cell
Dnajc3	ENSMUSG00000022136	Plasma_B_cell
Dnajc7	ENSMUSG00000014195	Dendritic_cell
Dnase1l3	ENSMUSG00000025279	Endothelial_cell
Dpt	ENSMUSG00000026574	HSC
Dsg2	ENSMUSG00000044393	Cholangiocyte
Eaf2	ENSMUSG00000022838	Plasma_B_cell
Ebf1	ENSMUSG00000057098	B_cell
Ecm1	ENSMUSG00000028108	HSC
Edem1	ENSMUSG00000030104	Plasma_B_cell
Edem2	ENSMUSG00000038312	Plasma_B_cell
Efemp1	ENSMUSG00000020467	HSC
Egfl7	ENSMUSG00000026921	Endothelial_cell
Ehd3	ENSMUSG00000024065	Endothelial_cell
Eng	ENSMUSG00000026814	Endothelial_cell
Epas1	ENSMUSG00000024140	Endothelial_cell
Epcam	ENSMUSG00000045394	Cholangiocyte
Fabp1	ENSMUSG00000054422	Hepatocyte
Fabp4	ENSMUSG00000062515	Endothelial_cell
Fam46c	ENSMUSG00000044468	Plasma_B_cell
Fcer1g	ENSMUSG00000058715	Macrophage
Fcer2a	ENSMUSG00000005540	B_cell
Fcgr2b	ENSMUSG00000026656	Endothelial_cell
Fcmr	ENSMUSG00000042474	B_cell
Fcrla	ENSMUSG00000038421	B_cell
Flt1	ENSMUSG00000029648	Endothelial_cell
Foxp1	ENSMUSG00000030067	B_cell
Fxyd3	ENSMUSG00000057092	Cholangiocyte
Gas6	ENSMUSG00000031451	Cholangiocyte
Gc	ENSMUSG00000035540	Hepatocyte
Gimap3	ENSMUSG00000039264	T_cell
Gimap7	ENSMUSG00000043931	T_cell
Glipr1	ENSMUSG00000056888	Plasma_B_cell
Gm2a	ENSMUSG00000000594	Dendritic_cell
Gm43291	ENSMUSG00000105646	Plasma_B_cell
Gm43603	ENSMUSG00000104710	B_cell
Gm8369	ENSMUSG00000058470	B_cell
Gng11	ENSMUSG00000032766	Endothelial_cell
Gnmt	ENSMUSG00000002769	Hepatocyte
Gpihbp1	ENSMUSG00000022579	Endothelial_cell
Gpr182	ENSMUSG00000058396	Endothelial_cell
Gpx1	ENSMUSG00000063856	Macrophage
Gsn	ENSMUSG00000026879	HSC
Gsta3	ENSMUSG00000025934	Hepatocyte
Gstm1	ENSMUSG00000058135	Hepatocyte
Gzmb	ENSMUSG00000015437	T_cell
H13	ENSMUSG00000019188	Plasma_B_cell
H2-Aa	ENSMUSG00000036594	Dendritic_cell
H2-Ab1	ENSMUSG00000073421	Dendritic_cell
H2-DMa	ENSMUSG00000037649	Dendritic_cell
H2-DMb1	ENSMUSG00000079547	Dendritic_cell
H2-DMb2	ENSMUSG00000037548	B_cell
H2-Eb1	ENSMUSG00000060586	Dendritic_cell
H2-Oa	ENSMUSG00000024334	B_cell
H2-Ob	ENSMUSG00000041538	B_cell
H2-Q7	ENSMUSG00000060550	T_cell
H2afv	ENSMUSG00000041126	Dividing_cell
H2afx	ENSMUSG00000049932	Dividing_cell
H2afy	ENSMUSG00000015937	Dendritic_cell
H2afz	ENSMUSG00000037894	Dividing_cell
Hcst	ENSMUSG00000064109	T_cell
Herpud1	ENSMUSG00000031770	Plasma_B_cell
Hist1h2ap	ENSMUSG00000094777	Dividing_cell
Hmgb2	ENSMUSG00000054717	Dividing_cell
Hmgn2	ENSMUSG00000003038	Dividing_cell
Hmox1	ENSMUSG00000005413	Macrophage
Hpx	ENSMUSG00000030895	Hepatocyte
Hsp90b1	ENSMUSG00000020048	Plasma_B_cell
Ifi30	ENSMUSG00000031838	Dendritic_cell
Ifitm1	ENSMUSG00000025491	HSC
Igfbp4	ENSMUSG00000017493	Endothelial_cell
Igfbp5	ENSMUSG00000026185	HSC
Igfbp6	ENSMUSG00000023046	HSC
Igfbp7	ENSMUSG00000036256	Endothelial_cell
Igha	ENSMUSG00000095079	Plasma_B_cell
Ighd	ENSMUSG00000104213	B_cell
Ighm	ENSMUSG00000076617	B_cell
Igkc	ENSMUSG00000076609	Plasma_B_cell
Iglc2	ENSMUSG00000076937	B_cell,Plasma_B_cell
